,building_name,building_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,property_story,walking_score,transit_score,bike_score,building_description,building_website
10,"""737 Park Ave Unit 12A""","""$17,995,000""","""5Beds""","""7.5Baths""",NA,"""New York,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/New-York/737-Park-Ave-10021/unit-12A/home/105844606
11,"""Unit at 165 Christopher St""","""$699,000""","""1Bed""","""1Bath""",NA,"""New York,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/New-York/165-Christopher-St-10014/home/173212453
12,"""300 Albany St Unit 9D""","""$690,000""","""1Bed""","""1Bath""",NA,"""New York,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/New-York/300-Albany-St-10280/unit-9D/home/45235017
13,"""Unit at 303 W 66th St""","""$750,000""","""1Bed""","""1Bath""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""96""","""100""","""76""","""Enjoy the expansive living space and an ultra-convenient location in this one-bedroom, one-bathroom home. Rooms and amenities that are not commonly found in NYC apartments include a Dining Room, Gourmet Kitchen with a Viking Range, a Renovated bathroom with Onyx tile, and an enclosed balcony. Hardwood floors throughout and tall ceilings greet you in the gracious foyer. Ahead, the 21-foot-long living room provides a generous space for seating and dining areas illuminated by an oversized south-facing window. Multiple large closets provide ample storage. Lincoln Guild is a well-run luxury cooperative where residents enjoy 24-hour doorman/concierge service, live-in superintendent, on-site management, a brand-new fitness center, an updated party room with a catering kitchen, and bathroom, laundry, a bike room, parking (currently waitlisted), and a circular driveway. Located in Lincoln Square, Enjoy afternoons along the miles-long Hudson River Greenway or in Riverside Park or Central Park. Shop at Trader Joe's or Fairway Nearby and other essentials along Broadway. Take in world-class entertainment at Lincoln Center or the Theater District. Transportation is a breeze with 1/2/3 trains just minutes away, and B/C trains along Central Park West. This building offers excellent financials with no underlying mortgage and low maintenance charges, which include all utilities and taxes.""",https://www.redfin.com/NY/New-York/303-W-66th-St-10023/home/172980637
14,"""67 Rutland Rd""","""$2,000,000""","""7Beds""","""4Baths""",NA,"""Brooklyn,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/Brooklyn/67-Rutland-Rd-11225/home/40784835
15,"""82-35 134th St Unit 3G""","""$285,000""","""2Beds""","""1Bath""",NA,"""Briarwood,NY""","""Condo/Co-op""",NA,—,"""84""","""100""","""55""","""Desirable location on a Beautiful tree-lined street welcomes you to this well maintained Large Two Bedroom co-op. Galley style kitchen packed with an abundance of storage and work area. Spacious living/ dining room combo with vintage charm. Freshly painted bathroom and reglazed tub.  Near Transportation. Minutes To E&F Train, Close To All Shopping And Major High Ways Van Wyke & Grand Central Pkwy. One Block to Queens Blvd located to all local amenities like cinema, park, coffee shops, restaurants, and gym. Close to JFK and LaGuardia airports but no airplane noise.""",https://www.redfin.com/NY/Briarwood/82-35-134th-St-11435/unit-3G/home/172346690
16,"""145 Mcguinness Blvd Unit 3A""","""$759,000""","""1Bed""","""1Bath""",NA,"""Brooklyn,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/Brooklyn/145-McGuinness-Blvd-11222/unit-3A/home/59293510
17,"""Unit at 105 W 70th St""","""$725,000""","""1Bed""","""1Bath""",NA,"""New York,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/New-York/105-W-70th-St-10023/home/172040654
18,"""77 FULTON St""","""$419,000""","""7Beds""","""3Baths""",NA,"""Elizabeth City,NJ""","""Single Family Residential""",NA,—,"""77""","""0""","""64""","""Well maintained INCOME PRODUCING TWO FAMILY home with wow LOW TAXES!. First floor has 3 bedrooms and one bath. Second floor has 4 bedrooms and one bath. Finished basement with an Office and a full bath a great bonus, Washer/ Dryer hook ups. Back yard perfect for entertaining guests! Other features include separate utilities, driveway space to fit up to 5 cars. Well located, close to Hospitals, major highways, shopping and more. Don't miss this opportunity (both apartments vacant), great for first time buyers or investors!! More Pictures coming soon""",https://www.redfin.com/NJ/Elizabeth/77-Fulton-St-07206/home/37739709
19,"""43-25 Douglaston Pkwy Unit 6C""","""$379,000""","""2Beds""","""2Baths""",NA,"""Douglaston,NY""","""Condo/Co-op""",NA,—,"""83""","""52""","""38""","""New to market, 2 BR 2 Bath 6th floor unit.  Showing schedules will be determined early next week.""",https://www.redfin.com/NY/Queens/43-25-Douglaston-Pkwy-11363/unit-6C/home/173643271
20,"""150-64 116th Rd""","""$475,000""","""2Beds""","""2Baths""",NA,"""Jamaica,NY""","""Single Family Residential""","""896""","""2.5""","""76""","""65""","""52""","""Single family home with living room, office/den, eat in kitchen one first floor, 2 bedrooms and full bathroom on second floor and full finished basement with full bathroom and separate utility area.""",https://www.redfin.com/NY/Jamaica/150-64-116th-Rd-11434/home/20710282
21,"""125-10 Queens Blvd #1201""","""$185,000""",NA,"""1Bath""",NA,"""Kew Gardens,NY""","""Condo/Co-op""",NA,—,"""93""","""100""","""54""",NA,https://www.redfin.com/NY/Queens/125-10-Queens-Blvd-11415/unit-1201/home/173642466
22,"""109-32 177th St""","""$449,990""","""3Beds""","""1.5Baths""",NA,"""Jamaica,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/Jamaica/109-32-177th-St-11433/home/20753436
23,"""116-32 140th St""","""$650,000""","""3Beds""","""2Baths""",NA,"""Jamaica,NY""","""Single Family Residential""","""1,248""","""2.5""","""79""","""61""","""55""","""Nicely renovated single family home.  Close to highway, Kennedy airport, and Jamaica Shopping area.  This home has a fully finished basement with a legal full bathroom, 1st fl has the formal living room, formal dining room and an eat in kitchen, 2nd fl holds the master bedroom, second bedroom and a full bath in hallway. The 3rd floor /Attic was converted to a 3rd bedroom. Nice fenced in yard, Drive way holds up to 4 cars, nicely manicured front yard.  Roof is 3-4yrs young, boiler and water tank 5yrs young, Hardwood floors though out entire house---this home will not last""",https://www.redfin.com/NY/Jamaica/116-32-140th-St-11436/home/20714304
24,"""6035 Broadway Unit 4G""","""$165,000""",NA,"""1Bath""",NA,"""BRONX,NY""",NA,NA,NA,NA,NA,NA,"""Another GEM at ""The Fieldston"" in North Riverdale. A sunny, renovated and spacious studio with a separate sleeping alcove, brand new eat in kitchen, hardwood floors and custom california closets. Extremely low maintenance in a well managed doorman building that is dog friendly and has a live-in-super.  Prime location to all...steps away from the #1 train/Major Deegan/West Side Highway/Saw Mill Parkway/Buses to Yonkers.. Across the street from the historic Van Cortlandt park. Walking distance to all shopping, dining, banks, schools and much more.   THIS UNIT IS PRICED TO SEE AND WILL GO FAST...A MUST SEE!!""",https://www.redfin.com/NY/The-Bronx/6035-Broadway-10471/unit-4G/home/44602333
25,"""1075 Sheepshead Bay Rd Unit 7C""","""$325,000""","""1Bed""","""1Bath""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""94""","""86""","""68""","""Sponsor Unit - No board approval! Ideal location convenient to shopping, mass transit, House of Worship, schools & more! Newly renovated apartment in well maintained building. Priced to Sell!""",https://www.redfin.com/NY/Brooklyn/1075-Sheepshead-Bay-Rd-11229/unit-7C/home/173634460
26,"""8814 Bay Pkwy Unit 2H""","""$290,000""","""1Bed""","""1Bath""","""$286,460""","""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""87""","""82""","""73""","""Priced To Sell! Sponsor Unit - No board approval! Excellent location, near shopping and mass transit & more!  Beautifully renovated apartment in well maintained building, with live in super.""",https://www.redfin.com/NY/Brooklyn/8814-Bay-Pkwy-11214/unit-2H/home/173634357
27,"""224-66 76th Rd""","""$888,000""","""3Beds""","""2Baths""","""$854,988""","""Bayside,NY""","""Single Family Residential""","""1,248""","""1""","""66""","""61""","""65""","""Nestled on a quiet street, 224-66 76th Rd. is ideally located next to the famed Alley Pond Park. This brick three bedroom, two bath ranch style home sits comfortably on a 41 x 100 lot and offers its new homeowners endless living space possibilities. Walk into this home and you are greeted with a bright and sizable living room & dining room with gleaming hardwood floors. An adjoining eat in kitchen gives this house incredible and easy flow. On the same level, you have your master bedroom and master bath as well as two additional bedrooms and full bath. Conveniently located, this house is being offered as-is and welcomes its new owners to come and put their touches on this incredible opportunity.""",https://www.redfin.com/NY/Flushing/224-66-76th-Rd-11364/home/20803532
28,"""109-17 123rd St""","""$739,000""","""4Beds""","""2Baths""",NA,"""Richmond Hill,NY""","""Single Family Residential""",NA,—,"""95""","""88""","""51""","""Basement: Beautiful Full finished basement 1st Floor: Huge living room, huge dining room, EIK, 1Br , super mint 2nd floor: 3 huge bedrooms, full bath Extra large private  driveway, huge backyard""",https://www.redfin.com/NY/Richmond-Hill/10917-123rd-ST-11419/home/171161501
29,"""68-44 Burns St Unit B2""","""$549,000""","""2Beds""","""1Bath""","""$548,291""","""Forest Hills,NY""","""Condo/Co-op""",NA,—,"""95""","""100""","""57""","""2nd Floor Unit. This Bright and Spacious Unit Boasts a Renovated Kitchen with Granite Counter Tops & Stainless Steel Appliances. High Ceilings & Wood Floors Throughout, Updated Bathroom with Granite Counter Top & Windows, Spacious Open Concept Living Room/Dining Room Combo, Sunny Master Bedroom & Large Second Bedroom. This Gorgeous Chatwick Gardens Coop Elevator Buildings Offers 24/7 Laundry, Bike Storage, & Pets Upon Approval! Close to LIRR, Forest Hills Stadium & Austin Street for Dining and Entertainment. PS 144 Elementary.""",https://www.redfin.com/NY/Flushing/68-44-Burns-St-11375/unit-B-2/home/40521672
30,"""356 Manor Rd""","""$999,000""","""4Beds""","""2.5Baths""","""$982,202""","""Douglaston,NY""","""Single Family Residential""","""1,416""","""2.5""","""26""","""41""","""28""","""""Hansel and Gretel English Cottage"" in the Historic District of Douglas Manor. Exposed brick chimney with gable roof  and arched doorway, brick steps, cobblestone framed sidewalk and curb. Excellent condition with 4 bedrooms, living room with fpl, newly renovated kitchen,  detached garage, easy access to private yard from kitchen.""",https://www.redfin.com/NY/Little-Neck/356-Manor-Rd-11363/home/20802645
31,"""15-45 160th St Unit 6-150""","""$268,888""","""2Beds""","""1Bath""",NA,"""Whitestone,NY""","""Condo/Co-op""",NA,—,"""77""","""45""","""55""","""***Welcome Home To The Most Coveted Upper Corner Unit Sitting In The Rear Of A Tree Filled Courtyard With Full Attic For All Of Your Storage Needs....Perfect Lawn For Your Outdoor Dining And Entertaining. Maintenance Includes All Utilities. Conveniently Located Near All:  Transportation: QM2, QM20 Express Buses To Manhattan , Q16, Q76; Schools, Shopping, Restaurants, Clearview 18 Hole Public Golf Course, Little Bay Park...And More...""",https://www.redfin.com/NY/Whitestone/15-45-160th-St-11357/unit-6-150/home/173638016
32,"""166-25 Powells Cove Blvd Unit 4H""","""$699,000""","""3Beds""","""2Baths""","""$687,917""","""Beechhurst,NY""","""Condo/Co-op""",NA,—,"""34""","""42""","""37""","""Great 3 bedroom/2 full bathroom unit in full service luxury building.  Corner apartment with beautiful water views.  Large rooms and wood floors throughout.  Terrace with water view and great closet space.  Laundry room on every floor.  Amenities include doorman, security, in ground heated pool, club room, gym, storage unit, bike room and beautifully landscaped grounds.  Express bus to NYC on corner.""",https://www.redfin.com/NY/Queens/166-25-Powells-Cove-Blvd-11357/unit-4H/home/173637959
33,"""123-24 Metropolitan Ave""","""$899,000""","""4Beds""","""3Baths""","""$874,608""","""Kew Gardens,NY""","""Single Family Residential""","""1,390""","""2.5""","""94""","""100""","""61""","""Modern, updated 4 bedroom, 3 bath home in a quiet neighborhood in Kew Gardens. Modern lighting fixtures, hardwood floors, new stainless steel appliances, 2 parking spaces, backyard with deck, basement with separate entrance. Close to everything.""",https://www.redfin.com/NY/Jamaica/123-24-Metropolitan-Ave-11415/home/20780097
34,"""356 Burns St""","""$1,985,000""","""4Beds""","""3.5Baths""",NA,"""Forest Hills,NY""","""Single Family Residential""","""1,969""","""2.75""","""95""","""100""","""64""","""ABSOLUTELY TURNKEY in Forest Hills Gardens. A well-appointed, historic home on a tree-lined private street. This charming center-hall colonial features 4 large bedrooms: 1 king, 2 queen & comfortable guest rm with 3 full baths & 1st floor powder rm. Split A/C units throughout. Inviting front porch is a perfect mudroom. Warm & welcoming w/natural sunlight throughout, this home perfectly suits our new modern living standards. A lower level space is uniquely designated as a home office/remote learning area & sep. family rm. A large front yard, a private backyard w/dining terrace, & an additional side porch, all fulfill the wish list for outdoor living & entertaining. Chef's kitchen & sep. dining room. Historic architectural details throughout include: original woodwork, brass hardware & ample storage. Truly a special place to call home. Exquisite, well-planned design elements coupled w/a fabulously convenient location, close to everything make this home a rare opportunity. (E,F,M,R,LIRR).""",https://www.redfin.com/NY/Queens/356-Burns-St-11375/home/20890056
35,"""90-31 171st St Unit 6A""","""$519,000""","""3Beds""","""2Baths""","""$522,695""","""Jamaica,NY""","""Condo/Co-op""",NA,—,"""96""","""100""","""52""","""Gorgeous 6th floor Condo Unit featuring 3 Bedrooms, 2 Full Bathrooms, Living/Dining, A Modern Kitchen With brand new Appliances, And 2 Balconies. Brand New Luxurious Condominium Building With 14 Years Tax Abatement, Elevator, and Laundry Facility. Conveniently Located in the heart of Jamaica. Close To F Train And Numerous Buses. Great Location! ACT NOW!!""",https://www.redfin.com/NY/Jamaica/90-31-171st-St-11432/unit-6A/home/169224064
36,"""40-11 196 St""","""$849,000""","""3Beds""","""1.5Baths""","""$831,126""","""Flushing,NY""","""Single Family Residential""","""1,200""","""2.5""","""89""","""63""","""54""","""3 Bedroom, 1.5 baths Colonial on tree-lined street with private driveway and garage with enclosed backyard and outside entrance.  The first floor living room, formal dining room and entrance foyer are completely renovated with new flooring and freshly painted.  The second floor has 3 bedrooms with gleaming wood floors, 1 full bath and freshly painted.  A staircase leads to a full attic, great for storage.  Full large basement has washer and dryer. Close to schools, transportation, store and houses of worship.""",https://www.redfin.com/NY/Flushing/40-11-196th-St-11358/home/20847933
37,"""240-07 128th Rd""","""$639,000""","""4Beds""","""2Baths""","""$633,357""","""Rosedale,NY""","""Single Family Residential""",NA,—,"""44""","""50""","""41""","""Location. Location. Location! Fully Renovated 4 Bedroom Cape in Rosedale. Featuring An Open Concept Kitchen With Gas Cooking, Tiled Backsplash and S.S. Appliances. This Turn-Key Home Offers Convenient and Modern Features. Including Built-in Speakers, LED High-Hat (Recessed Lighting), Hardwood Floors Throughout and New Windows. You Will Love The Space This Home Offers You, With 2 Bedrooms on the Main Floor & 2 Bedrooms on the Top Floor. A Finished Basement For Extra Space and Storage, With A Separate Entrance and Laundry Hookups. This Charming Property Sits on a 67X108 lot. Close to Schools, LIRR, Brookville Park, Green Acres Mall, Belt, Cross Island, Southern State Parkway and Much More. Come And See For Yourself! Then Simply Unpack and Enjoy!""",https://www.redfin.com/NY/Rosedale/240-7-128th-Rd-11422/home/173638718
38,"""1472 Rosedale Ave""","""$899,999""","""10Beds""","""3Baths""","""$872,228""","""BRONX,NY""","""Multi-Family (2-4 Unit)""","""2,960""","""2""","""85""",NA,"""61""","""3 FAMILY NEWLY RENOVATED!! 4 Beds, 1 bath,  Separate Living Room, Eat in Kitchen over 4 Beds, 1 bath, Separate Living Room, Eat in Kitchen Over 2 Bed, 1 Bath, and Separate Living Room. This property is ideal for families that want to live together, because both of the 4 beds are identical. Investment offers 25k net a year, and as a home owner renting two of the units you can live rent free.   Each unit has a large living room, and eat in kitchen. There is 1 king bed plus 5 piece furniture sized bedroom in each unit of the 4 bedroom units. Every other bed easily accommodates a queen bed. Baths of custom fully tiled , kitchen have soft close cabinetry cortz counter tops and custom tiled floors for easy cleaning.   Easy to Show. Check ""The What I love About This Property"" section for direct appointment.""",https://www.redfin.com/NY/The-Bronx/1472-Rosedale-Ave-10460/home/44722068
39,"""3150 Randall Ave""","""$599,000""","""3Beds""","""2Baths""","""$594,920""","""BRONX,NY""","""Single Family Residential""","""1,296""","""2""","""80""","""56""","""50""","""If there is one thing we learned from quarantine is that space, privacy and a HUGE backyard in NYC is necessary, this is it! Introducing 3150 Randall avenue, this unique property offers Beaming hardwood floors thru-out the home, a recently updated kitchen with granite countertops and stainless steel appliances, 3 ample size bedrooms and 2 full updated bathrooms. In addition, this home offers a full walk-out basement with high ceilings, large front yard, rear patio, a huge backyard where you can have plenty of activities and spend your days taking in the sun with your friends and family. This home is located on a corner lot and offers private parking / 4 car driveway. Centrally located near all major transportation, school, parks, shops and eateries.""",https://www.redfin.com/NY/The-Bronx/3150-Randall-Ave-10465/home/44785408
40,"""2879 Waterbury Ave""","""$679,000""","""4Beds""","""2Baths""",NA,"""BRONX,NY""","""Multi-Family (2-4 Unit)""","""1,672""","""2""","""88""",NA,"""66""","""It is rare to have this detached home with 3 car garage for your private parking in desirable Pelham Bay area. This home offers 2 bedroom 1 bathroom plus unfinished high ceiling attic over 2 bedroom 1 bathroom over finished basement with 1 bathroom. Two units have owned heating and hot water heater systems.  Walk to 6 train station and Q50 bus station in minutes. Close to the shops, schools,parks and major highway.""",https://www.redfin.com/NY/The-Bronx/2879-Waterbury-Ave-10461/home/44785357
41,"""84-70 129th St Unit 1G""","""$130,000""",NA,"""1Bath""","""$127,693""","""Kew Gardens,NY""","""Condo/Co-op""",NA,—,"""88""","""100""","""63""","""Don't Miss Out This One ! Affordable Living In Kew Gardens! An Excellent Value Move-In Condition Studio Apartment On Second Floor In Well Kept Metro Manor Coop Building With Alcove Windowed Kitchen,3 Closets In Entry Foyer. Low Maintenance Includes Heat, Water and Cooking gas. ? Conveniently located near shopping and transportation  Live in super. Laundry on lobby level. Pets friendly. Sublet allowed after 3 years.""",https://www.redfin.com/NY/Queens/84-70-129th-St-11415/unit-1G/home/173639849
42,"""4117 Paulding Ave""","""$524,900""","""3Beds""","""2Baths""","""$519,078""","""BRONX,NY""","""Single Family Residential""","""1,344""","""2""","""84""","""80""","""67""","""Welcome to 4117 Paulding Avenue! The beautiful brick home recently underwent an extensive renovation. The ground floor consists of an entrance foyer, sun-filled living room, formal dining room, and a new white kitchen with quartz countertops and stainless steel appliances. The mud room, back garden and one car garage are accessible from the kitchen. The second floor offers a Pottery Barn inspired bathroom, a master bedroom with double closet, and two additional bedroom. A beautiful walk out lower level with full bathroom is perfect for company or a media room. Interior photos have been virtually staged.""",https://www.redfin.com/NY/The-Bronx/4117-Paulding-Ave-10466/home/44782654
43,"""148-15 225th St""","""$979,000""","""6Beds""","""3.5Baths""","""$942,543""","""Springfield Gdns,NY""","""Single Family Residential""","""676""","""1""","""38""","""60""","""55""","""Space, style & modern luxury come together at 148-15-225 Street, a newly constructed Luxurious brick two family nestled on a beautiful tree lined street of Rosedale/ Springfield Gardens border. Featuring a wide private driveway & tons of space! Looking for space, plus income generating rental property? Look no further, your search ends here. Configured as 3 bedroom rental unit over a 3 bedroom owners unit plus a high ceiling full finished basement with private street level entrance. Both units enjoy expansive sun drenched living&dining areas which provide great space for entertaining, beautiful chefs granite kitchens equipped with floor to ceiling cabinetry, spacious bedrooms with ample closet space, fully tiled bathrooms that boast state of the art wall & floor tiles & much more! Must see to appreciate. Renovations include brand new wood flooring, recessed lighting, electrical, heating and plumbing systems. Located with close proximity to major transportation, schools & highways!""",https://www.redfin.com/NY/Jamaica/148-15-225th-St-11413/home/20687682
44,"""181 Arlington Ave""","""$1,280,000""","""6Beds""","""4.5Baths""","""$1,217,087""","""E. New York,NY""","""Multi-Family (2-4 Unit)""","""2,151""","""2.5""","""92""","""95""","""65""","""Enjoy level 2 family colonial home in an upcoming neighborhood of Brooklyn. centrally located to the Jackie Robinson Parkway or the E train to the Q24 bus (6 min walk from Atlantic Ave/Warwick St. stop). This spacious home offers you 10 ft. ceilings with 96 inch hi this 3gh doors made of solid wood. Hardwood floors throughout the house. Each apartment has 2 full size tiled floors with heavy duty 3/8""  bypass doors. Enjoy an early cup of coffee on the second floor balcony in the bright sunlight or relax with a beverage after a hard days work. The backyard is fenced in to enjoy those picnics with family and friends. Enjoy a stroll along the park or play tennis or at it's play ground at Highland Park, minutes away from your new home.   The Living room and dining room have a recessed ceiling with a lit soffit and recessed lighting to reflect the mood that you desire.""",https://www.redfin.com/NY/Brooklyn/181-Arlington-Ave-11207/home/40758114
45,"""104 Burton Ave""","""$1,455,000""","""4Beds""","""4Baths""","""$1,420,886""","""Staten Island,NY""","""Multi-Family (2-4 Unit)""","""4,252""","""2""","""36""","""56""","""43""","""Public Remarks: Rare Opportunity. .. Exquisite One Family Center Hall Colonial nestled in the most desirable section of Princes Bay. Space  &  Style come together in this Luxurious Artistic Beauty. Dual Entry OAK Doors, Custom Hand Blown Glass Chandelier and Show Stopping Finishes. Designer Cherry Wood  &  Granite Chef's Kitchen equipped w/ Viking Appliances  &  Cherry Wood Walk-in Pantry. Living / Family Room w/ Wood Burning Fireplace, Custom Designed Cherry Wood Storage  &  Entertainment Center, Recessed Lighting and Speakers. Designer Finishes in Spacious Formal Dining Room. Built-in OAK Library fitted for 80 Gallon Tank or Flat-screen. Vaulted Ceiling, Skylights and Picture Perfect Windows provide expansive Sun-drenched living areas. Custom Window Treatment's  &  All Appliances / Lighting !!! First Floor Laundry""",https://www.redfin.com/NY/Staten-Island/104-Burton-Ave-10309/home/56123347
